geoid,geoid20,year,denom_total_pop,pm25_concentration
1400000US06037203100,6037203100,2021,4498,12.42
1400000US06037203200,6037203200,2021,5695,12.28
1400000US06037203300,6037203300,2021,2000,12.58
1400000US06037203500,6037203500,2021,2907,12.84
1400000US06037203601,6037203601,2021,3146,12.64
1400000US06037203602,6037203602,2021,2130,12.64
1400000US06037203710,6037203710,2021,3270,12.41
1400000US06037203720,6037203720,2021,4072,12.41
1400000US06037203800,6037203800,2021,4829,12.29
1400000US06037203900,6037203900,2021,3353,12.23
1400000US06037204110,6037204110,2021,3286,12.29
1400000US06037204120,6037204120,2021,2971,12.23
1400000US06037204200,6037204200,2021,3657,12.29
1400000US06037204300,6037204300,2021,5445,12.41
1400000US06037204410,6037204410,2021,2575,12.64
1400000US06037204420,6037204420,2021,3154,12.64
1400000US06037204600,6037204600,2021,4080,12.47
1400000US06037204700,6037204700,2021,5510,12.31
1400000US06037204810,6037204810,2021,5277,12.31
1400000US06037204820,6037204820,2021,2241,12.24
1400000US06037204910,6037204910,2021,3341,12.25
1400000US06037204920,6037204920,2021,2751,12.25
1400000US06037205110,6037205110,2021,3904,12.25
1400000US06037205120,6037205120,2021,3548,12.27
1400000US06037206010,6037206010,2021,4121,13.33
