geoid,geoid20,year,denom_total_pop,pollution_burden_score
1400000US06037188201,6037188201,2021,3473,7.1100001
1400000US06037188202,6037188202,2021,2426,6.6500001
1400000US06037188300,6037188300,2021,3800,8.04
1400000US06037189101,6037189101,2021,2521,5.8299999
1400000US06037189102,6037189102,2021,3356,5.6999998
1400000US06037189201,6037189201,2021,3216,5.52
1400000US06037189202,6037189202,2021,2396,5.73
1400000US06037189300,6037189300,2021,3117,5.1399999
1400000US06037189400,6037189400,2021,3164,4.5700002
1400000US06037189501,6037189501,2021,2421,6.0900002
1400000US06037189502,6037189502,2021,1759,6.0900002
1400000US06037189600,6037189600,2021,3890,6.5700002
1400000US06037189702,6037189702,2021,2201,6.6300001
1400000US06037189703,6037189703,2021,2544,6.71
1400000US06037189704,6037189704,2021,723,6.71
1400000US06037189801,6037189801,2021,2158,6.0300002
1400000US06037189802,6037189802,2021,1675,6.0300002
1400000US06037189903,6037189903,2021,2089,5.0300002
1400000US06037189904,6037189904,2021,2435,5.6500001
1400000US06037189905,6037189905,2021,2432,4.8899999
1400000US06037189906,6037189906,2021,2984,6.1500001
1400000US06037189907,6037189907,2021,2387,6.1500001
1400000US06037190101,6037190101,2021,1664,6.8800001
1400000US06037190102,6037190102,2021,2789,6.8800001
1400000US06037190201,6037190201,2021,2632,6.46
1400000US06037190202,6037190202,2021,3225,6.0799999
1400000US06037190302,6037190302,2021,3311,6.3099999
1400000US06037190303,6037190303,2021,2258,6.3099999
1400000US06037190401,6037190401,2021,2977,5.27
1400000US06037190402,6037190402,2021,2372,5.77
1400000US06037190510,6037190510,2021,4051,6.5500002
1400000US06037190520,6037190520,2021,3979,6.4200001
1400000US06037190701,6037190701,2021,1849,7.0700002
1400000US06037190702,6037190702,2021,836,7.0700002
1400000US06037190801,6037190801,2021,2682,7.3600001
1400000US06037190802,6037190802,2021,2982,7.5300002
1400000US06037190901,6037190901,2021,4587,7.3699999
1400000US06037190902,6037190902,2021,3518,6.9899998
1400000US06037191000,6037191000,2021,4454,6.9499998
1400000US06037191110,6037191110,2021,3478,7
1400000US06037191120,6037191120,2021,3900,7.3200002
1400000US06037191201,6037191201,2021,4414,6.1799998
1400000US06037191203,6037191203,2021,2383,6.6399999
1400000US06037191204,6037191204,2021,2033,6.6300001
1400000US06037191301,6037191301,2021,2224,6.1199999
1400000US06037191302,6037191302,2021,1947,6.02
1400000US06037191410,6037191410,2021,4646,6.5
1400000US06037191420,6037191420,2021,3096,6.8400002
1400000US06037191500,6037191500,2021,5931,7.3000002
1400000US06037191610,6037191610,2021,4237,6.8600001
1400000US06037191620,6037191620,2021,2532,6.6999998
1400000US06037191710,6037191710,2021,2937,6.0599999
1400000US06037191720,6037191720,2021,3224,6.48
1400000US06037191810,6037191810,2021,3367,7.6500001
1400000US06037191820,6037191820,2021,3176,7.0900002
1400000US06037191901,6037191901,2021,3060,7.6900001
1400000US06037191902,6037191902,2021,2788,7.5100002
1400000US06037192001,6037192001,2021,2370,6.77
1400000US06037192002,6037192002,2021,2597,5.7600002
1400000US06037192300,6037192300,2021,2463,6.3400002
1400000US06037192410,6037192410,2021,3700,5.6599998
1400000US06037192420,6037192420,2021,4280,5.8499999
1400000US06037192510,6037192510,2021,3840,5.8899999
1400000US06037192520,6037192520,2021,5269,6.3099999
1400000US06037192610,6037192610,2021,3703,7.1500001
1400000US06037192620,6037192620,2021,3542,6.9200001
1400000US06037192700,6037192700,2021,3449,8.0200005
1400000US06037194101,6037194101,2021,3277,5.3800001
1400000US06037194102,6037194102,2021,3189,4.9299998
1400000US06037194200,6037194200,2021,3524,5.6100001
1400000US06037194300,6037194300,2021,3262,4.9899998
1400000US06037194401,6037194401,2021,2391,5.6399999
1400000US06037194402,6037194402,2021,3579,5.8600001
1400000US06037194500,6037194500,2021,2019,6.25
1400000US06037195100,6037195100,2021,4978,7.0999999
1400000US06037195201,6037195201,2021,3128,6.3099999
1400000US06037195202,6037195202,2021,3304,5.9099998
1400000US06037195300,6037195300,2021,3089,6.3899999
1400000US06037195400,6037195400,2021,4451,6.04
1400000US06037195500,6037195500,2021,5548,6.8800001
1400000US06037195600,6037195600,2021,2948,7.3699999
1400000US06037195710,6037195710,2021,4487,7.9400001
1400000US06037195720,6037195720,2021,2000,7.4499998
1400000US06037195802,6037195802,2021,2691,8.29
1400000US06037195803,6037195803,2021,2634,7.1199999
1400000US06037195804,6037195804,2021,2533,7.3499999
1400000US06037195901,6037195901,2021,2237,6.0300002
1400000US06037195902,6037195902,2021,1864,6.4000001
1400000US06037195903,6037195903,2021,2008,7.5999999
1400000US06037197200,6037197200,2021,3909,8.6599998
1400000US06037197300,6037197300,2021,4052,6.8899999
1400000US06037197410,6037197410,2021,4331,8.4499998
1400000US06037197420,6037197420,2021,3564,7.5999999
1400000US06037197500,6037197500,2021,3914,8.0500002
1400000US06037197600,6037197600,2021,2166,8.2399998
1400000US06037197700,6037197700,2021,5332,8.4499998
1400000US06037199001,6037199001,2021,863,9.3900003
1400000US06037199002,6037199002,2021,4699,9.3599997
1400000US06037199110,6037199110,2021,2705,6.27
1400000US06037199120,6037199120,2021,4511,7.1799998
1400000US06037199201,6037199201,2021,3660,7.75
1400000US06037199202,6037199202,2021,3155,7
1400000US06037199300,6037199300,2021,4202,7.3000002
1400000US06037199400,6037199400,2021,4759,7.5100002
1400000US06037199700,6037199700,2021,3063,9.21
1400000US06037199801,6037199801,2021,3088,8.3199997
1400000US06037199802,6037199802,2021,2740,8.3199997
1400000US06037199900,6037199900,2021,2692,8.8599997
1400000US06037201110,6037201110,2021,2147,4.8299999
