geoid,name,B99021001,"B99021001, Error",B99021002,"B99021002, Error",B99021003,"B99021003, Error"
14000US06029005512,"Census Tract 55.12, Kern, CA",3381,-1,20,-1,3361,-1
14000US06029005513,"Census Tract 55.13, Kern, CA",1961,-1,410,-1,1551,-1
14000US06029005514,"Census Tract 55.14, Kern, CA",3886,-1,223,-1,3663,-1
14000US06029005600,"Census Tract 56, Kern, CA",2418,-1,23,-1,2395,-1
14000US06029005700,"Census Tract 57, Kern, CA",2924,-1,90,-1,2834,-1
14000US06029005803,"Census Tract 58.03, Kern, CA",3205,-1,119,-1,3086,-1
14000US06029005804,"Census Tract 58.04, Kern, CA",5886,-1,299,-1,5587,-1
14000US06029005805,"Census Tract 58.05, Kern, CA",2231,-1,45,-1,2186,-1
14000US06029005806,"Census Tract 58.06, Kern, CA",4702,-1,51,-1,4651,-1
14000US06029005900,"Census Tract 59, Kern, CA",3341,-1,95,-1,3246,-1
14000US06029006002,"Census Tract 60.02, Kern, CA",4284,-1,17,-1,4267,-1
14000US06029006003,"Census Tract 60.03, Kern, CA",6009,-1,60,-1,5949,-1
14000US06029006004,"Census Tract 60.04, Kern, CA",1255,-1,10,-1,1245,-1
14000US06029006006,"Census Tract 60.06, Kern, CA",4117,-1,70,-1,4047,-1
14000US06029006009,"Census Tract 60.09, Kern, CA",2660,-1,16,-1,2644,-1
14000US06029006010,"Census Tract 60.10, Kern, CA",2790,-1,37,-1,2753,-1
14000US06029006011,"Census Tract 60.11, Kern, CA",3320,-1,33,-1,3287,-1
14000US06029006012,"Census Tract 60.12, Kern, CA",3266,-1,66,-1,3200,-1
14000US06029006101,"Census Tract 61.01, Kern, CA",3827,-1,25,-1,3802,-1
14000US06029006102,"Census Tract 61.02, Kern, CA",4954,-1,63,-1,4891,-1
14000US06029006201,"Census Tract 62.01, Kern, CA",2502,-1,113,-1,2389,-1
14000US06029006202,"Census Tract 62.02, Kern, CA",7908,-1,148,-1,7760,-1
14000US06029006301,"Census Tract 63.01, Kern, CA",3766,-1,75,-1,3691,-1
14000US06029006303,"Census Tract 63.03, Kern, CA",5287,-1,0,-1,5287,-1
14000US06029006304,"Census Tract 63.04, Kern, CA",3789,-1,71,-1,3718,-1
14000US06029006403,"Census Tract 64.03, Kern, CA",6299,-1,104,-1,6195,-1
14000US06029006404,"Census Tract 64.04, Kern, CA",3640,-1,56,-1,3584,-1
14000US06029006405,"Census Tract 64.05, Kern, CA",2777,-1,15,-1,2762,-1
14000US06029006406,"Census Tract 64.06, Kern, CA",3936,-1,37,-1,3899,-1
14000US06029006500,"Census Tract 65, Kern, CA",4809,-1,30,-1,4779,-1
14000US06029006600,"Census Tract 66, Kern, CA",4434,-1,160,-1,4274,-1
